GPS00125,697477.265,732835.99,52.487,KB1
GPS00126,697476.391,732834.331,52.678,KB1
GPS00127,697483.288,732831.02,52.729,KB1
GPS00128,697483.804,732831.18,52.715,KB1
GPS00129,697487.282,732828.584,52.848,KB1
GPS00130,697490.86,732825.847,52.995,KB1
GPS00131,697494.842,732822.842,53.109,KB1
GPS00132,697498.361,732820.205,53.209,KB1
GPS00133,697502.569,732817.085,53.314,KB1
GPS00134,697506.627,732814.068,53.422,KB1
GPS00135,697510.133,732811.456,53.563,KB1
GPS00136,697513.855,732808.708,53.652,KB1
GPS00137,697518.041,732805.611,53.837,KB1
GPS00138,697523.757,732801.482,53.963,KB1
GPS00139,697532.36,732794.878,54.246,KB1
GPS00140,697536.034,732792.427,54.337,KB1
GPS00141,697539.633,732789.431,54.413,KB1
GPS00142,697542.744,732787.111,54.444,KB1
GPS00143,697546.167,732784.5,54.542,KB1
GPS00144,697550.586,732781.275,54.659,KB1
GPS00145,697554.609,732778.285,54.748,KB1
GPS00146,697558.276,732775.619,54.852,KB1
GPS00147,697561.952,732773.028,54.935,KB1
GPS00148,697566.152,732770.065,55.057,KB1
GPS00149,697570.128,732767.223,55.106,KB1
GPS00150,697574.741,732763.808,55.142,KB1
GPS00151,697578.531,732761.017,55.244,KB1
GPS00152,697582.354,732758.16,55.318,KB1
GPS00153,697586.663,732754.991,55.402,KB1
GPS00154,697590.803,732751.904,55.485,KB1
GPS00155,697595.042,732748.751,55.551,KB1
GPS00156,697598.69,732746.018,55.623,KB1
GPS00157,697603.387,732742.613,55.77,KB1
GPS00158,697606.857,732740.102,55.839,KB1
GPS00159,697611.061,732737.008,55.919,KB1
GPS00160,697615.3,732733.902,55.929,KB1
GPS00161,697619.237,732730.954,55.934,KB1
GPS00162,697623.188,732728.048,56.01,KB1
GPS00163,697627.926,732741.84,55.945,KB1
GPS00164,697624.861,732739.957,55.886,KB1
GPS00165,697621.34,732739.746,55.842,KB1
GPS00166,697617.48,732741.1,55.817,KB1
GPS00167,697613.78,732743.654,55.823,KB1
GPS00168,697609.93,732746.467,55.754,KB1
GPS00169,697606.642,732748.873,55.643,KB1
GPS00170,697602.617,732751.792,55.559,KB1
GPS00171,697598.927,732754.449,55.525,KB1
GPS00172,697595.099,732757.26,55.438,KB1
GPS00173,697591.294,732760.045,55.326,KB1
GPS00174,697587.114,732763.077,55.243,KB1
GPS00175,697582.99,732766.041,55.16,KB1
GPS00176,697578.726,732769.084,55.054,KB1
GPS00177,697574.742,732771.935,54.985,KB1
GPS00178,697570.759,732774.804,54.907,KB1
GPS00179,697566.698,732777.739,54.816,KB1
GPS00180,697562.819,732780.546,54.729,KB1
GPS00181,697559.264,732783.096,54.743,KB1
GPS00182,697558.736,732786.228,54.878,KB1
GPS00183,697555.232,732788.757,54.778,KB1
GPS00184,697551.452,732791.408,54.69,KB1
GPS00185,697547.058,732794.456,54.543,KB1
GPS00186,697545.901,732792.862,54.472,KB1
GPS00187,697545.673,732794.669,54.463,KB1
GPS00188,697545.92,732796.155,54.465,KB1
GPS00189,697546.988,732798.419,54.498,KB1
GPS00190,697549.9,732802.634,54.506,KB1
GPS00191,697552.649,732806.575,54.511,KB1
GPS00192,697554.624,732809.418,54.53,KB1
GPS00193,697550.44,732812.543,54.593,KB1
GPS00194,697548.945,732810.526,54.512,KB1
GPS00195,697546.702,732810.285,54.507,KB1
GPS00196,697543.59,732806.364,54.454,KB1
GPS00197,697544.492,732804.363,54.379,KB1
GPS00198,697542.724,732802.022,54.34,KB1
GPS00199,697540.595,732800.389,54.336,KB1
GPS00200,697537.682,732799.658,54.27,KB1
GPS00201,697536.077,732800.624,54.214,KB1
GPS00202,697537.384,732802.617,54.342,KB1
GPS00203,697533.799,732805.317,54.37,KB1
GPS00204,697530.538,732807.761,54.368,KB1
GPS00205,697527.16,732810.3,54.307,KB1
GPS00206,697524.114,732812.576,54.191,KB1
GPS00207,697521.193,732814.771,54.124,KB1
GPS00208,697518.083,732813.517,53.851,KB1
GPS00209,697511.142,732818.512,53.45,KB1
GPS00210,697506.481,732821.999,53.326,KB1
GPS00211,697502.581,732824.931,53.225,KB1
GPS00212,697498.438,732828.126,53.145,KB1
GPS00213,697494.459,732831.116,53.013,KB1
GPS00214,697490.451,732834.189,52.771,KB1
GPS00215,697485.865,732837.699,52.604,KB1
GPS00216,697481.922,732840.61,52.469,KB1
GPS00217,697477.614,732843.816,52.326,KB1
GPS00218,697474.053,732846.568,52.231,KB1
GPS00219,697470.174,732849.446,52.071,KB1
GPS00220,697465.923,732852.473,51.912,KB1
GPS00221,697461.512,732855.606,51.736,KB1
GPS00222,697457.79,732858.571,51.594,KB1
GPS00223,697454.247,732861.282,51.467,KB1
GPS00224,697450.072,732864.361,51.351,KB1
GPS00225,697445.155,732868.153,51.067,KB1
GPS00226,697439.863,732871.974,50.96,KB1
GPS00227,697436.602,732874.477,50.821,KB1
GPS00228,697432.82,732877.422,50.634,KB1
GPS00229,697428.405,732881.019,50.402,KB1
GPS00230,697428.355,732881.577,50.458,KB1
GPS00231,697424.454,732884.502,50.279,KB1
GPS00232,697423.706,732884.581,50.217,KB1
GPS00233,697420.333,732887.023,50.113,KB1
GPS00234,697416.471,732889.691,49.928,KB1
GPS00235,697412.093,732892.81,49.795,KB1
GPS00236,697408.471,732895.367,49.653,KB1
GPS00237,697404.358,732898.289,49.531,KB1
GPS00238,697400.531,732900.987,49.413,KB1
GPS00239,697396.631,732903.752,49.331,KB1
GPS00240,697392.108,732906.986,49.19,KB1
GPS00241,697388.465,732909.581,49.142,KB1
GPS00242,697384.404,732912.444,49.1,KB1
GPS00243,697379.95,732915.512,49.118,KB1
GPS00244,697375.828,732918.484,49.049,KB1
GPS00245,697371.971,732921.14,49.015,KB1
GPS00246,697368.422,732923.5,48.953,KB1
GPS00247,697364.562,732926.105,48.956,KB1
GPS00248,697362.264,732926.792,48.987,KB1
GPS00249,697358.731,732929.25,48.922,KB1
GPS00250,697355.047,732931.792,48.929,KB1
GPS00251,697350.848,732934.655,49.029,KB1
GPS00252,697346.9,732937.432,49.043,KB1
GPS00253,697342.901,732940.195,49.074,KB1
GPS00254,697339.759,732942.505,49.021,KB1
GPS00255,697338.179,732944.342,48.972,KB1
GPS00256,697338.15,732946.499,48.949,KB1
GPS00257,697339.541,732948.237,48.911,KB1
GPS00258,697335.676,732942.051,49.031,CL1
GPS00259,697343.61,732936.419,49.067,CL1
GPS00260,697351.578,732930.83,49.079,CL1
GPS00261,697360.586,732924.372,49.062,CL1
GPS00262,697369.507,732918.562,49.098,CL1
GPS00263,697378.305,732912.565,49.198,CL1
GPS00264,697386.012,732907.031,49.3,CL1
GPS00265,697392.981,732901.972,49.461,CL1
GPS00266,697401.227,732896.004,49.621,CL1
GPS00267,697409.797,732889.884,49.873,CL1
GPS00268,697417.439,732884.359,50.232,CL1
GPS00269,697425.958,732878.302,50.512,CL1
GPS00270,697434.442,732872.14,50.881,CL1
GPS00271,697442.161,732866.404,51.302,CL1
GPS00272,697451.449,732859.547,51.559,CL1
GPS00273,697460.847,732852.517,51.924,CL1
GPS00274,697468.939,732846.428,52.17,CL1
GPS00275,697477.105,732840.212,52.486,CL1
GPS00276,697484.822,732834.454,52.775,CL1
GPS00277,697491.541,732829.376,53.004,CL1
GPS00278,697499.509,732823.494,53.301,CL1
GPS00279,697507.272,732817.637,53.522,CL1
GPS00280,697515.522,732811.532,53.778,CL1
GPS00281,697523.313,732805.692,54.026,CL1
GPS00282,697530.48,732800.451,54.178,CL1
GPS00283,697536.406,732795.937,54.413,CL1
GPS00284,697542.138,732791.678,54.49,CL1
GPS00285,697549.951,732785.832,54.66,CL1
GPS00286,697557.406,732780.396,54.855,CL1
GPS00287,697565.654,732774.369,55.041,CL1
GPS00288,697574.1,732768.258,55.183,CL1
GPS00289,697582.769,732761.97,55.343,CL1
GPS00290,697593.116,732755.111,55.531,CL1
GPS00291,697602.255,732747.785,55.733,CL1
GPS00292,697613.18,732739.731,55.961,CL1
GPS00293,697621.096,732733.791,56.077,CL1
GPS00294,697624.022,732739.444,55.808,GL
GPS00295,697585.673,732765.191,55.337,CH1
GPS00296,697586.018,732765.61,55.353,CH1
GPS00297,697585.225,732766.216,55.336,CH1
GPS00298,697584.91,732765.807,55.307,CH1
GPS00299,697579.205,732770.994,55.232,CH1
GPS00300,697578.371,732771.535,55.219,CH1
GPS00301,697578.664,732771.964,55.22,CH1
GPS00302,697579.491,732771.423,55.228,CH1
GPS00303,697547.415,732791.08,54.43,GL
GPS00304,697547.643,732798.105,54.624,MH
GPS00305,697548.183,732798.657,54.628,SV
GPS00306,697548.282,732799.194,54.606,WM
GPS00307,697548.509,732801.089,54.436,GL
GPS00308,697555.119,732812.723,54.563,MH
GPS00309,697555.809,732815.378,54.608,MH
GPS00310,697556.884,732819.72,54.67,MH
GPS00311,697552.041,732813.166,54.578,MH
GPS00312,697552.176,732817.327,54.676,MH
GPS00313,697551.778,732817.629,54.718,MH
GPS00314,697551.318,732817.011,54.689,MH
GPS00315,697551.713,732816.712,54.707,MH
GPS00316,697550.781,732816.229,54.692,CL1
GPS00317,697550.369,732816.525,54.684,CL1
GPS00318,697549.769,732815.735,54.69,CL1
GPS00319,697550.157,732815.427,54.679,CL1
GPS00320,697548.861,732813.975,54.658,SV
GPS00321,697548.784,732813.856,54.705,SV
GPS00322,697548.269,732813.205,54.714,WM
GPS00323,697548.038,732813.313,54.73,WM
GPS00324,697544.583,732804.034,54.356,GL
GPS00325,697540.903,732799.94,54.377,MH
GPS00326,697539.74,732803.215,54.502,AJ
GPS00327,697538.822,732802.281,54.485,CH1
GPS00328,697538.195,732802.707,54.497,CH1
GPS00329,697537.91,732800.854,54.451,CH1
GPS00330,697577.517,732769.569,55.054,MH
GPS00331,697578.04,732769.224,55.072,MH
GPS00332,697577.67,732768.685,55.095,MH
GPS00333,697577.154,732769.046,55.077,MH
GPS00334,697578.35,732768.383,55.088,MH
GPS00335,697578.878,732768.018,55.093,MH
GPS00336,697578.515,732767.498,55.125,MH
GPS00337,697577.996,732767.867,55.116,MH
GPS00338,697523.559,732816.021,54.223,AJ
GPS00339,697519.301,732815.319,54.025,CH1
GPS00340,697518.683,732815.872,54.012,CH1
GPS00341,697518.703,732815.901,54.044,CH1
GPS00342,697519.848,732815.999,54.146,CH1
